,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
6472,Taking Safety and Quality Improvement Work to the Next Level (Patient Safety VII),Johns Hopkins University,Course,3k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6473,"Comparing Genes, Proteins, and Genomes (Bioinformatics III)",University of California San Diego,Course,17k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6474,Palliative Care Always Capstone Course,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,4.3,Intermediate
6475,Newborn Capstone,University of Colorado System,Course,4.2k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6476,Buddhism and Modern Psychology,Princeton University,Course,550k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6477,Capacitación sobre COVID-19 para trabajadores de salud,Stanford University,Course,14k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6478,Methods and Statistics in Social Science - Final Research Project,University of Amsterdam,Course,4.1k,Health,healthcare_medicine,1-3 Months,4.2,Beginner
6479,食品安全與毒理 (Food Safety & Toxicology),National Taiwan University,Course,8.6k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6480,Science Matters: Let's Talk About COVID-19,Imperial College London,Course,140k,Health,healthcare_medicine,1-3 Months,4.2,Beginner
6481,Classical papers in molecular genetics,University of Geneva,Course,21k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6482,Учимся понимать ребёнка: руководство для взрослых,Novosibirsk State University,Course,12k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6483,Patenting in Biotechnology,Technical University of Denmark (DTU),Course,13k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6484,食品安全與風險分析（Food Safety＆Risk Analysis）,National Taiwan University,Course,5.3k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6485,Formation COVID-19 pour personnels de santé,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,0,Mixed
6486,Strategies for Assisted Living Communities during COVID-19,Johns Hopkins University,Course,5.1k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6487,Teaching and Assessing Clinical Skills,University of Michigan,Course,14k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6488,"Life, Health and Radiation",The University of Sydney,Course,4.8k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6489,Disease Screening in Public Health,University of Geneva,Course,22k,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6490,Alimentación y dietética para una vuelta al mundo a vela,Universitat de Barcelona,Course,16k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6491,Getting started in cryo-EM,Caltech,Course,20k,Health,healthcare_medicine,1-3 Months,4.9,Mixed
6492,结构生物化学（Structural Biochemistry),Nanjing University,Course,11k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6493,The Psychology of Thrill Seekers,Emory University,Course,7.1k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6494,"Bats, Ducks, and Pandemics: An Introduction to One Health Policy",Princeton University,Course,5.9k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6495,Epigenetic Control of Gene Expression,The University of Melbourne,Course,41k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6496,Genetic Epidemiology Foundations,University of Colorado System,Course,0,Health,healthcare_medicine,1-3 Months,4.3,Intermediate
6497,Global Health: An Interdisciplinary Overview,University of Geneva,Course,26k,Health,healthcare_medicine,1-3 Months,4.5,Mixed
6498,Space Medicine,Duke University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6499,Grundlagen der Unfallchirurgie,Technische Universität München (TUM),Course,2.3k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6500,An Introduction to the U.S. Food System: Perspectives from Public Health,Johns Hopkins University,Course,12k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6501,Strategies for Senior Housing Communities during COVID-19,Johns Hopkins University,Course,3.2k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6502,Finding Mutations in DNA and Proteins (Bioinformatics VI),University of California San Diego,Course,13k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6503,Climate Adaptation for Human Health,Yale University,Course,3.6k,Health,healthcare_medicine,1-3 Months,4.5,Intermediate
6504,Pain Management: Easing Pain in Palliative Care,University of Colorado System,Course,4k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6505,Общие вопросы патологии и патологической анатомии (General Issues of Pathology and Pathologic Anatomy),Saint Petersburg State University,Course,6.1k,Health,healthcare_medicine,1-3 Months,4.3,Intermediate
6506,Community Awareness Course: Sexuality and Disability,University of Minnesota,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6507,Molecular Evolution (Bioinformatics IV),University of California San Diego,Course,14k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6508,Rehabilitation after COVID-19,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6509,Anatomy of the Upper and Lower Extremities,Yale University,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6510,Введение в Биоинформатику: Метагеномика (Introduction to Bioinformatics: Metagenomics),Saint Petersburg State University,Course,5k,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6511,营养与健康,Nanjing University,Course,7.7k,Health,healthcare_medicine,1-3 Months,4.3,Mixed
6512,"Психология труда, инженерная психология и эргономика",National Research Tomsk State University,Course,7.4k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6513,口腔种植学 （Implant Dentistry）,The University of Hong Kong,Course,2.6k,Health,healthcare_medicine,1-3 Months,4.9,Intermediate
6514,Predictive Modeling and Transforming Clinical Practice,University of Colorado System,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6515,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Clinical Perspective)",Columbia University,Course,9.1k,Health,healthcare_medicine,1-3 Months,4.6,Beginner
6516,人体生理学导论（中文版）,Duke University,Course,17k,Health,healthcare_medicine,1-3 Months,4.8,Mixed
6517,Specialty Topics: Biology Across Disciplines,University of Colorado Boulder,Course,0,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6518,Advanced Neurobiology II,Peking University,Course,14k,Health,healthcare_medicine,1-3 Months,4.3,Intermediate
6519,Lecture Series for Preventing and Controlling COVID-19,Xi'an Jiaotong University,Course,6.1k,Health,healthcare_medicine,1-3 Months,4.4,Beginner
6520,Leadership for Cancer Informatics Research,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6521,Formação sobre a COVID-19 para Profissionais de Saúde,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,5,Mixed
6522,Fundamentals for Implementing a Hypertension Program,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,5,Beginner
6523,生命安全与救援Life Safety and Rescue,Shanghai Jiao Tong University,Course,2.4k,Health,healthcare_medicine,1-3 Months,4.2,Mixed
6524,"Protecting Public Health in a Changing Climate: A Primer for City, Local, and Regional Action",Johns Hopkins University,Course,3.3k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6525,Palliative Care Capstone Projects,University of Colorado System,Course,0,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6526,Soul Beliefs: Causes and Consequences - Unit 3: How Does It All End?,Rutgers the State University of New Jersey,Course,11k,Health,healthcare_medicine,1-3 Months,4.4,Mixed
6527,Коронавирусы SARS-CoV-2 и возбудители ОРВИ,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,0,Mixed
6528,Биосенсоры,Novosibirsk State University,Course,4.7k,Health,healthcare_medicine,1-3 Months,4.9,Beginner
6529,流行病学基础（上）,Peking University,Course,2.1k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6530,Visual Perception and Visual Illusions,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,0,Mixed
6531,Ebola Virus Disease: An Evolving Epidemic,Emory University,Course,8.8k,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6532,Easing Physical Symptoms: It's Not Just Hospice Anymore,University of Colorado System,Course,2.6k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6533,स्वास्थ्य कर्मचारियों के लिए कोविड-19 ट्रेनिंग,Stanford University,Course,0,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6534,常见慢性病的健康管理,Shanghai Jiao Tong University,Course,3.2k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6535,Genius. Talent. Golden Mediocrity,National Research Tomsk State University,Course,4.6k,Health,healthcare_medicine,1-3 Months,4.2,Beginner
6536,Foundations for Global Health Responders,University of Colorado System,Course,4.2k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6537,Bridging healthcare and society,National Research Tomsk State University,Course,0,Health,healthcare_medicine,1-3 Months,3.6,Mixed
6538,Health and healthcare in transition: dilemmas of governance,National Research Tomsk State University,Course,0,Health,healthcare_medicine,1-3 Months,4.1,Beginner
6539,İnfertilite Hemşireliği (Infertility Nursing),Koç University,Course,0,Health,healthcare_medicine,1-3 Months,5,Mixed
6540,Транскрипция и мир РНК,Saint Petersburg State University,Course,0,Health,healthcare_medicine,1-3 Months,0,Mixed
6541,The Changing Arctic,National Research Tomsk State University,Course,6.5k,Health,healthcare_medicine,1-3 Months,4.3,Mixed
6542,ERPO: A Civil Approach to Gun Violence Prevention Teach-Out,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6543,生命科学发展史,Shanghai Jiao Tong University,Course,2.1k,Health,healthcare_medicine,1-3 Months,4.4,Mixed
6544,Population Health: Panel Management Next Level,Universiteit Leiden,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6545,Household Surveys for Program Evaluation in LMICs,Johns Hopkins University,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6546,Ebola: Essential Knowledge for Health Professionals,University of Amsterdam,Course,13k,Health,healthcare_medicine,1-3 Months,4.6,Mixed
6547,2021 Cancer Prevention Web-Based Activity (CE eligible),University of Virginia,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6548,Molecular Tumoral Board 2020-21,Universitat de Barcelona,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6549,遗传学实验,Peking University,Course,0,Health,healthcare_medicine,1-3 Months,5,Beginner
6550,Pioneers of Medicine and Medical Breakthroughs in Taiwan,National Taiwan University,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6551,COVID-19 : à la recherche des contacts,University of Geneva,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6552,Applying Participatory Approaches in Public Health Settings,Imperial College London,Course,0,Health,healthcare_medicine,1-3 Months,0,Beginner
6553,Основы травматологии,Technische Universität München (TUM),Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6554,Causes of Racial Inequity in Healthcare,University of Michigan,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6555,Rastreamento de contato da COVID-19,Johns Hopkins University,Course,1.7k,Health,healthcare_medicine,1-3 Months,4.8,Beginner
6556,全球卫生导论,Fudan University,Course,0,Health,healthcare_medicine,1-3 Months,4.5,Beginner
6557,COVID-19. Отслеживание контактов,Novosibirsk State University,Course,0,Health,healthcare_medicine,1-3 Months,4.7,Beginner
6558,In the footsteps of Zika… approaching the unknown,University of Geneva,Course,5.2k,Health,healthcare_medicine,1-3 Months,4.7,Intermediate
6559,Leadership in Interprofessional Informatics,University of Minnesota,Course,2.5k,Health,healthcare_medicine,1-3 Months,4.8,Intermediate
6560,idea 2 IMPACT: An Introduction to Translating Assistive Health Technologies and Other Products,University of Pittsburgh,Course,0,Health,healthcare_medicine,1-3 Months,0,Intermediate
6561,更年期综合管理,Peking University,Course,2.7k,Health,healthcare_medicine,1-3 Months,4.3,Mixed
6562,抗菌药与超级细菌 －－天使与魔鬼的博弈,Fudan University,Course,0,Health,healthcare_medicine,1-3 Months,4.7,Mixed
6563,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,Course,78k,Health,healthcare_medicine,1-4 Weeks,4.9,Beginner
6564,Science of Exercise,University of Colorado Boulder,Course,280k,Health,healthcare_medicine,1-4 Weeks,4.8,Beginner
6565,El rol docente del médico residente,Universidad Nacional Autónoma de México,Course,1.6k,Health,healthcare_medicine,1-4 Weeks,4.9,Beginner
6566,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,Course,190k,Health,healthcare_medicine,1-4 Weeks,4.8,Beginner
6567,Everyday Parenting: The ABCs of Child Rearing,Yale University,Course,150k,Health,healthcare_medicine,1-4 Weeks,4.9,Beginner
6568,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,Course,130k,Health,healthcare_medicine,1-4 Weeks,4.3,Beginner
6569,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,Course,33k,Health,healthcare_medicine,1-4 Weeks,4.7,Beginner
6570,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),Course,73k,Health,healthcare_medicine,1-4 Weeks,4.8,Intermediate
6571,Stanford's Short Course on Breastfeeding,Stanford University,Course,28k,Health,healthcare_medicine,1-4 Weeks,4.7,Beginner
6572,Positive Psychology: Applications and Interventions,University of Pennsylvania,Course,33k,Health,healthcare_medicine,1-4 Weeks,4.8,Beginner
6573,Rebuilding Our Relationship with Food,Stanford University,Course,4.9k,Health,healthcare_medicine,1-4 Weeks,4.9,Beginner
6574,Sustainable Tourism – promoting environmental public health,University of Copenhagen,Course,25k,Health,healthcare_medicine,1-4 Weeks,4.7,Beginner
6575,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,Course,58k,Health,healthcare_medicine,1-4 Weeks,4.8,Intermediate
6576,Systems Thinking In Public Health,Johns Hopkins University,Course,44k,Health,healthcare_medicine,1-4 Weeks,4.6,Mixed
6577,Positive Psychology: Resilience Skills,University of Pennsylvania,Course,57k,Health,healthcare_medicine,1-4 Weeks,4.9,Beginner
6578,Diabetes – the Essential Facts,University of Copenhagen,Course,56k,Health,healthcare_medicine,1-4 Weeks,4.7,Beginner
